,Type,Date,City,Officer-defined ethnicity,Self-defined ethnicity,Gender,Age range,Removal of more than just outer clothing,Outcome
3744,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
3745,Person search,2020-03,Colchester,White,White - Any other White background,Male,25-34,False,A no further action disposal
3746,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3747,Person search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - African,Male,18-24,False,Arrest
3748,Person search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - African,Male,18-24,False,Arrest
3749,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3750,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
3751,Person search,2020-03,Colchester,White,White - Any other White background,Male,over 34,False,A no further action disposal
3752,Person search,2020-03,Colchester,White,White - Any other White background,Male,over 34,False,A no further action disposal
3753,Person search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - African,Male,18-24,False,A no further action disposal
3754,Person search,2020-03,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,Community resolution
3755,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Summons / charged by post
3756,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3757,Person search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,10-17,False,A no further action disposal
3758,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3759,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3760,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3761,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3762,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3763,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3764,Person and Vehicle search,2020-03,Colchester,Other,Other ethnic group - Any other ethnic group,Male,18-24,False,A no further action disposal
3765,Person and Vehicle search,2020-03,Colchester,Asian,Asian/Asian British - Bangladeshi,Male,18-24,False,Arrest
3766,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3767,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3768,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3769,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3770,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3771,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3772,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3773,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3774,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3775,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3776,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
3777,Person search,2020-03,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
3778,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
3779,Person search,2020-03,Colchester,Other,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,18-24,False,A no further action disposal
3780,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3781,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3782,Person search,2020-03,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,10-17,False,A no further action disposal
3783,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3784,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3785,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3786,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
3787,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3788,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
3789,Person search,2020-03,Colchester,Asian,Asian/Asian British - Pakistani,Male,10-17,False,A no further action disposal
3790,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3791,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3792,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3793,Person search,2020-03,Colchester,White,Other ethnic group - Not stated,Male,25-34,False,A no further action disposal
3794,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Arrest
3795,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
3796,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3797,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
3798,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3799,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3800,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3801,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3802,Person search,2020-03,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,18-24,False,A no further action disposal
3803,Person search,2020-03,Colchester,White,White - Any other White background,Male,25-34,False,A no further action disposal
3804,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3805,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3806,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3807,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3808,Person and Vehicle search,2020-03,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,18-24,False,A no further action disposal
3809,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
3810,Person search,2020-03,Colchester,Black,Other ethnic group - Not stated,Male,over 34,False,Arrest
3811,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3812,Person search,2020-03,Colchester,White,Other ethnic group - Not stated,Male,25-34,False,Arrest
3813,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3814,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,True,Summons / charged by post
3815,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3816,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3817,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,25-34,False,Arrest
3818,Person search,2020-03,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
3819,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3820,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,25-34,False,A no further action disposal
3821,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3822,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3823,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3824,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3825,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3826,Person search,2020-03,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
3827,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3828,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3829,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
3830,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3831,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3832,Person and Vehicle search,2020-03,Colchester,White,White - Any other White background,Male,18-24,False,Arrest
3833,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Community resolution
3834,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,25-34,False,A no further action disposal
3835,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3836,Person search,2020-03,Colchester,White,Other ethnic group - Not stated,Female,18-24,False,A no further action disposal
3837,Person search,2020-03,Colchester,White,White - Any other White background,Male,18-24,False,Khat or Cannabis warning
3838,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3839,Person and Vehicle search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - African,Male,25-34,False,A no further action disposal
3840,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
3841,Person and Vehicle search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,25-34,False,A no further action disposal
3842,Person search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - African,Male,18-24,False,Khat or Cannabis warning
3843,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
3844,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3845,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,Khat or Cannabis warning
3846,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3847,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
3848,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
3849,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3850,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3851,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3852,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3853,Person and Vehicle search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,18-24,False,A no further action disposal
3854,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3855,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3856,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3857,Person and Vehicle search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,25-34,False,A no further action disposal
3858,Person and Vehicle search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,18-24,False,A no further action disposal
3859,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
3860,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
3861,Person search,2020-03,Colchester,Other,Mixed/Multiple ethnic groups - White and Black African,Male,18-24,False,A no further action disposal
3862,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,25-34,True,A no further action disposal
3863,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Arrest
3864,Person and Vehicle search,2020-03,Colchester,White,White - Any other White background,Male,18-24,False,Khat or Cannabis warning
3865,Person search,2020-03,Colchester,Black,Other ethnic group - Not stated,Male,18-24,False,Khat or Cannabis warning
3866,Person search,2020-03,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,Khat or Cannabis warning
3867,Person and Vehicle search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,over 34,False,A no further action disposal
3868,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3869,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Arrest
3870,Person and Vehicle search,2020-03,Colchester,White,White - Any other White background,Male,18-24,False,Arrest
3871,Person search,2020-03,Colchester,White,White - Any other White background,Male,18-24,False,A no further action disposal
3872,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3873,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Arrest
3874,Person search,2020-03,Colchester,Other,Mixed/Multiple ethnic groups - White and Black African,Male,18-24,False,Arrest
3875,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Community resolution
3876,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
3877,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,Khat or Cannabis warning
3878,Person search,2020-03,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,10-17,False,A no further action disposal
3879,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Community resolution
3880,Person and Vehicle search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,25-34,True,Community resolution
3881,Person and Vehicle search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,25-34,True,Community resolution
3882,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
3883,Person search,2020-03,Colchester,Other,Mixed/Multiple ethnic groups - White and Black African,Male,10-17,False,A no further action disposal
3884,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3885,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3886,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3887,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3888,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3889,Person search,2020-03,Colchester,Black,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
3890,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3891,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Summons / charged by post
3892,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
3893,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3894,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3895,Person and Vehicle search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - African,Male,18-24,False,A no further action disposal
3896,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3897,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Arrest
3898,Person and Vehicle search,2020-03,Colchester,Asian,Other ethnic group - Not stated,Male,25-34,False,A no further action disposal
3899,Person and Vehicle search,2020-03,Colchester,Black,Other ethnic group - Not stated,Male,25-34,False,Caution (simple or conditional)
3900,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Khat or Cannabis warning
3901,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,25-34,False,Caution (simple or conditional)
3902,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3903,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
3904,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
3905,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Arrest
3906,Person search,2020-03,Colchester,White,White - Any other White background,Male,18-24,False,Caution (simple or conditional)
3907,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
3908,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
3909,Person search,2020-03,Colchester,Other,Other ethnic group - Any other ethnic group,Male,25-34,False,A no further action disposal
3910,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
3911,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,25-34,False,Community resolution
3912,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
3913,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
3914,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Arrest
3915,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3916,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
3917,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
3918,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3919,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3920,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3921,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Khat or Cannabis warning
3922,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3923,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
3924,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Arrest
3925,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3926,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
3927,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3928,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Summons / charged by post
3929,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3930,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
3931,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3932,Person and Vehicle search,2020-03,Colchester,White,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
3933,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3934,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3935,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,25-34,False,A no further action disposal
3936,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,Khat or Cannabis warning
3937,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3938,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Khat or Cannabis warning
3939,Person and Vehicle search,2020-03,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,over 34,False,Khat or Cannabis warning
3940,Person search,2020-03,Colchester,White,White - Any other White background,Male,25-34,False,A no further action disposal
3941,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3942,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3943,Person and Vehicle search,2020-03,Colchester,White,White - Any other White background,Male,over 34,False,A no further action disposal
3944,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,Khat or Cannabis warning
3945,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,Arrest
3946,Person and Vehicle search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - Caribbean,Male,over 34,False,Arrest
3947,Person search,2020-03,Colchester,White,White - Any other White background,Male,25-34,False,A no further action disposal
3948,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,True,A no further action disposal
3949,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Khat or Cannabis warning
3950,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Arrest
3951,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3952,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3953,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3954,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
3955,Person and Vehicle search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
3956,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3957,Person and Vehicle search,2020-03,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,25-34,False,A no further action disposal
3958,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3959,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3960,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3961,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3962,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3963,Person search,2020-03,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,10-17,False,A no further action disposal
3964,Person search,2020-03,Colchester,Other,Black/African/Caribbean/Black British - Caribbean,Male,18-24,False,A no further action disposal
3965,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,10-17,False,A no further action disposal
3966,Person search,2020-03,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
3967,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,18-24,False,A no further action disposal
3968,Person search,2020-03,Colchester,White,White - Any other White background,Male,10-17,False,A no further action disposal
3969,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3970,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
3971,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Community resolution
3972,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,Community resolution
3973,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Community resolution
3974,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
3975,Person search,2020-03,Colchester,Other,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,10-17,False,Community resolution
3976,Person search,2020-03,Colchester,White,White - Any other White background,Male,10-17,False,A no further action disposal
3977,Person search,2020-03,Colchester,Asian,Asian/Asian British - Any other Asian background,Male,18-24,False,A no further action disposal
3978,Person search,2020-03,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
3979,Person search,2020-03,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
