,Type,Date,City,Officer-defined ethnicity,Self-defined ethnicity,Gender,Age range,Removal of more than just outer clothing,Outcome
14555,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14556,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14557,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Female,over 34,False,A no further action disposal
14558,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14559,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14560,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14561,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14562,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14563,Person search,2020-07,Colchester,Other,Other ethnic group - Not stated,Male,18-24,False,A no further action disposal
14564,Person search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,10-17,False,A no further action disposal
14565,Person and Vehicle search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,A no further action disposal
14566,Person and Vehicle search,2020-07,Colchester,White,Other ethnic group - Not stated,Male,over 34,False,A no further action disposal
14567,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,Arrest
14568,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14569,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14570,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,10-17,False,A no further action disposal
14571,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14572,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,18-24,False,A no further action disposal
14573,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,over 34,False,A no further action disposal
14574,Person search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
14575,Person search,2020-07,Colchester,Black,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,25-34,False,A no further action disposal
14576,Person search,2020-07,Colchester,White,White - Any other White background,Male,25-34,False,A no further action disposal
14577,Person and Vehicle search,2020-07,Colchester,White,White - English/Welsh/Scottish/Northern Irish/British,Male,25-34,False,A no further action disposal
